,0
perceptr_var,0.5087698748733889
spectral_bandwidth_mean,0.4233134325761019
rms_var,0.3949107872980364
rolloff_mean,0.38409108313700013
chroma_stft_mean,0.3749797562431856
spectral_centroid_var,0.36626727955415506
mfcc1_mean,0.3662493850064341
spectral_centroid_mean,0.35243787152472406
rms_mean,0.3330497339830254
mfcc2_mean,0.3150005208568536
rolloff_var,0.3101951613950118
harmony_var,0.2745941621841479
zero_crossing_rate_var,0.2629492521380712
mfcc4_mean,0.26030350871274255
mfcc4_var,0.2602514899132604
mfcc5_var,0.23784372876365234
mfcc6_var,0.23621644497089545
mfcc6_mean,0.23474268630834105
mfcc8_mean,0.2283375592817527
zero_crossing_rate_mean,0.22519285681118717
mfcc9_mean,0.22357890582349782
perceptr_mean,0.22143769236764044
spectral_bandwidth_var,0.22080700840391687
mfcc3_var,0.21662353414813662
mfcc7_var,0.20987441692454611
harmony_mean,0.2084172354867735
mfcc1_var,0.20486863826485058
mfcc12_mean,0.19408904519666859
chroma_stft_var,0.1898939308966172
mfcc3_mean,0.1863688575615039
mfcc7_mean,0.18424370752122554
mfcc13_mean,0.17488018605468625
mfcc2_var,0.17462201271485078
mfcc17_mean,0.17116325447575553
mfcc10_mean,0.16706279908293098
mfcc5_mean,0.16444729371596178
mfcc8_var,0.16437262217170057
mfcc10_var,0.14937236613728233
mfcc15_mean,0.14904753633200007
mfcc11_mean,0.14581070164490084
mfcc9_var,0.12600197379142752
tempo,0.12366956916091709
mfcc11_var,0.12334633688125374
mfcc12_var,0.12104343517024585
mfcc16_mean,0.1129164832845504
mfcc20_var,0.10469424747976719
mfcc13_var,0.10190745689996072
mfcc15_var,0.1018178068233695
mfcc14_var,0.0997565791138264
mfcc14_mean,0.09520098824285972
mfcc19_var,0.09324559189578219
mfcc16_var,0.09083444635275884
mfcc20_mean,0.08727809025895938
mfcc17_var,0.08479120393940498
mfcc18_var,0.07891854752157901
mfcc19_mean,0.07202060198797477
mfcc18_mean,0.054382150549368014
